episode,train_reward,best_eval_reward,phase,evals_since_best,anchor_candidate_count,anchor_updates,n_critic_updates,n_actor_updates,critic_loss,critic_main_loss,actor_loss,alpha_loss,q1_mean,q2_mean,q_return_corr,backup_mean,q_pi_mean,q_pi_std_mean,logp_mean,violation_mean,proj_delta_mean,kl,kl_from_best,kl_beta,alpha,lambda_value,actor_lr,critic_lr,eval_mean_reward,eval_worst_reward,eval_robust_reward,eval_energy_cost_mean,eval_bess_cost_mean,eval_ev_cost_mean,eval_pv_cost_mean,eval_grid_penalty_mean,eval_bess_abs_power_mean,eval_ev_abs_power_mean,eval_pv_cmd_mean
0,-154.842523223826,-80.78697781695807,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
1,-96.10833376774826,-80.78697781695807,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
2,-111.89491328795157,-80.78697781695807,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
3,-208.71660144780253,-80.78697781695807,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
4,-125.34387674714526,-80.78697781695807,1,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
5,-135.27188966916583,-80.78697781695807,1,6,0,0,252,0,0.19770690467622545,0.19770690467622545,,,-0.8281903570547463,-0.8310480802541688,0.5184655616444255,-0.8428102629998374,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
6,-106.34283327498997,-80.78697781695807,1,7,0,0,252,0,0.18078324742733487,0.18078324742733487,,,-1.3418396148416731,-1.3421667648686304,0.5780089547236761,-1.340490962777819,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
7,-113.76489411989314,-80.78697781695807,1,8,0,0,252,0,0.19449631810661347,0.19449631810661347,,,-1.8088578823066892,-1.8092485103342268,0.5374253472638508,-1.8027064190024422,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
8,-122.71890950874877,-80.78697781695807,1,9,0,0,252,0,0.2073137644264433,0.2073137644264433,,,-2.264921635389328,-2.265829151111936,0.46627913793874165,-2.2566224743449497,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
9,-107.9568507949225,-80.78697781695807,1,10,0,0,252,0,0.2230178742773003,0.2230178742773003,,,-2.70805651611752,-2.709215116879297,0.4103203761199164,-2.696451395276993,,,,,,,,,,,,,-80.78697781695807,-132.59251992011923,-131.47661813142622,0.01400062668085772,0.0005746736062986213,0.024853729843297024,2.6959819404223314e-05,0.000616915734636549,0.2758433231954566,0.41290999455319377,0.01028393033357374
